State,District,Block,Village,pH,EC,CO3,HCO3,Cl,SO4,NO3,TH,Ca,Mg,Na,K,F,TDS,WQI,Water Quality Classification
Maharashtra,Pune,Junnar,Ane,7.68,594,40.37,195,28,4,8,160,42,13.37,120,21,0.12,1170,267.47,Very Poor yet Drinkable
Madhya Pradesh,Shajapur,Shujalpur,Shujalpur,7.37,796,40.37,172,87,74,52,270,64,27,48,10.2,0.13,477,205.53,Very Poor yet Drinkable
Madhya Pradesh,Tikamgarh,Baldeogarh,Manikpur,7.6,670,40.37,261,25,21,74,260,74,18,32,2.8,0.35,436,183.85,Poor
Maharashtra,Pune,Purandhar,Pimpri (Kh) Malvasti,8.03,1353,40.37,372,64,34,22,125,32,10.94,17.2,5,0.27,336,251.06,Very Poor yet Drinkable
Madhya Pradesh,Shajapur,Shajapur,Tilawad Govind,7.5,1358,40.37,301,220,13,90,515,146,36,64,10.6,0.47,814,344.81,Unsuitable for Drinking
Madhya Pradesh,Tikamgarh,Tikamgarh,Mawai,7.4,395,40.37,61,32,45,56,150,22,23,20,1.4,1.05,257,106.81,Poor
Maharashtra,Pune,Velhe,Wehle,7.44,245,40.37,73,35,3,3,105,18,14.58,32,2,0.15,576,124.58,Poor
Madhya Pradesh,Sheopur,Sheopur,Baroda New,7.26,1248,40.37,345,140,100,30,426,89,49,86,2.5,0.84,748,318.8,Unsuitable for Drinking
Madhya Pradesh,Tikamgarh,Prithvipur,Nengawan,7.4,1025,40.37,243,130,40,87,385,100,33,55,2.9,1.13,666,271.88,Very Poor yet Drinkable
Maharashtra,Pune,Indapur,Bhadalwadi,7.95,1523,40.37,348,216,23,23,380,68,51.04,36,44,0.52,228,271.37,Very Poor yet Drinkable
Madhya Pradesh,Sheopur,Sheopur,Bhagwara,7.4,1368,40.37,393,55,200,56,332,85,29,155,4.1,0.68,820,357.74,Unsuitable for Drinking
Madhya Pradesh,Tikamgarh,Niwari,Niwari New,7.3,1100,40.37,279,137,37,87,430,146,16,53,1,0.53,715,292.7,Very Poor yet Drinkable
Maharashtra,Pune,Purandhar,Narayanpur,7.91,501,40.37,207,35,5,13,175,22,29.16,32,7,0.23,384,140.47,Poor
Madhya Pradesh,Sheopur,Vijaypur,Dhobni,7.25,2000,40.37,272,375,155,19,421,101,41,240,8.2,0.42,1200,497.23,Unsuitable for Drinking
Madhya Pradesh,Tikamgarh,Niwari,Orchha,7.6,1125,40.37,328,100,48,94,510,106,60,20,2,1.03,731,298.31,Very Poor yet Drinkable
Maharashtra,Pune,Baramati,Dorlewadi,7.82,1082,40.37,214,103,9,32,305,68,32.81,92,2,0.14,456,232.48,Very Poor yet Drinkable
Madhya Pradesh,Sheopur,Sheopur,Doti,7.35,825,40.37,369,25,45,20,203,51,18,93,2,0.6,495,216.3,Very Poor yet Drinkable
Madhya Pradesh,Tikamgarh,Prithvipur,Prithipur,7.7,1030,40.37,322,145,10,30,340,78,35,76,1.3,1.64,670,269.55,Very Poor yet Drinkable
Maharashtra,Pune,Purandhar,Jejuri,7.95,1079,40.37,397,113,5,14,340,42,57.11,94,3,0.23,108,195.35,Poor
Madhya Pradesh,Sheopur,Sheopur,Filojpura,7.3,1100,40.37,430,45,40,62,292,57,36,108,3.2,0.54,660,285.44,Very Poor yet Drinkable
Madhya Pradesh,Tikamgarh,Tikamgarh,Tikamgarh,7.3,1625,40.37,286,345,34,23,765,134,105,20,2.3,0.75,1056,410.4,Unsuitable for Drinking
Maharashtra,Pune,Purandhar,Pangre Sailar Basti,8.12,686,40.37,287,28,2,11,215,56,18.23,54,28,0.2,55,124.25,Poor
Madhya Pradesh,Sheopur,Vijaypur,Garhi1,7.48,1265,40.37,563,90,10,18,64,10,10,258,1,0.92,759,329.07,Unsuitable for Drinking
Madhya Pradesh,Ujjain,Ghatia,Bachhukhera,8,1612,40.37,207,227,22,321,280,52,36,212,2.3,0.9,1048,436.46,Unsuitable for Drinking
Maharashtra,Pune,Baramati,Undavri Kade Pathar,7.84,1222,40.37,311,131,13,14,270,48,36.46,6,1,0.69,27,189.72,Poor
Madhya Pradesh,Sheopur,Vijaypur,Ghaswani,7.24,1220,40.37,363,75,165,32,277,65,28,150,2.1,0.5,732,318.49,Unsuitable for Drinking
Madhya Pradesh,Ujjain,Ujjain,Chakrawada Grid,7.6,1423,40.37,348,177,28,108,555,158,39,64,1.1,0.4,925,372.94,Unsuitable for Drinking
Maharashtra,Pune,Haveli,Parne,8.1,1735,40.37,592,205,25,28,600,144,58.33,12,1,0.43,150,306.15,Unsuitable for Drinking
Madhya Pradesh,Sheopur,Karahal,Goras,7.21,600,40.37,206,40,35,30,203,61,12,39,5,0.16,360,156.4,Poor
Madhya Pradesh,Ujjain,Badnagar,Chhoti Ghadsod,7.8,1145,40.37,275,130,45,104,325,86,27,102,3.2,0.2,744,304.23,Unsuitable for Drinking
Maharashtra,Pune,Junnar,Junnar,8.05,1197,40.37,122,106,7,28,105,28,8.51,4,13.57,0.23,120,181,Poor
Madhya Pradesh,Sheopur,Vijaypur,Harkui,7.35,790,40.37,290,60,10,60,317,89,23,32,0.9,0.22,474,206.09,Very Poor yet Drinkable
Madhya Pradesh,Ujjain,Ujjain,Dabla Rehwari,7.5,942,40.37,250,140,15,13,265,84,13,81,2.9,1.1,612,242.78,Very Poor yet Drinkable
Maharashtra,Pune,Mulshi,Kolwan,7.81,436,40.37,189,28,3,5,180,24,29.16,2.45,1,0.67,270,111.33,Poor
Madhya Pradesh,Sheopur,Karahal,Kalmi,7.4,800,40.37,303,40,60,30,262,75,18,60,2.1,0.1,480,209.53,Very Poor yet Drinkable
Madhya Pradesh,Ujjain,Tarana,Dablahardu,7.5,2879,40.37,708,547,44,65,1010,306,60,184,2.1,0.2,1871,748.55,Unsuitable for Drinking
Maharashtra,Pune,Mulshi,Bukum,7.47,810,40.37,293,74,12,12,355,110,19.44,8.11,1,0.33,115,151.61,Poor
Madhya Pradesh,Sheopur,Karahal,Karahal,7.22,720,40.37,303,37,10,50,272,85,14,38,1.5,0.22,432,189.69,Poor
Madhya Pradesh,Ujjain,Mahidpur,Ghosla,8,2445,40.37,397,535,16,78,745,244,33,209,1.4,0.15,1589,626.82,Unsuitable for Drinking
Maharashtra,Pune,Mulshi,Mulshi,7.95,106,40.37,24,7,2,12,35,6,4.86,10.8,1,0.22,54,26.47,Excellent
Madhya Pradesh,Sheopur,Karahal,Kunorh,7.45,910,40.37,375,50,18,54,391,101,34,25,1.2,0.19,546,237.19,Very Poor yet Drinkable
Madhya Pradesh,Ujjain,Tarana,Kaiytha,7.7,3565,40.37,537,810,29,147,1450,486,57,139,2.5,0.25,2317,916.15,Unsuitable for Drinking
Maharashtra,Pune,Mawal,Lonawala,7.66,296,40.37,92,28,4,4,115,26,12.15,5.2,1,0.1,276,87.61,Good
Madhya Pradesh,Sheopur,Karahal,Nonpura,7.39,1015,40.37,490,47,14,12,401,75,52,42,6.4,0.3,609,261.64,Very Poor yet Drinkable
Madhya Pradesh,Ujjain,Badnagar,Kharotia,7.8,2042,40.37,647,215,44,53,660,224,24,152,1.8,0.35,1327,532.31,Unsuitable for Drinking
Maharashtra,Pune,Ambegaon,Loni (Ambegaon),8.1,860,40.37,226,74,8,20,285,46,41.32,78,32,0.25,72,148.87,Poor
Madhya Pradesh,Sheopur,Karahal,Piprani New,7.32,675,40.37,309,22,29,12,267,61,28,28,1.2,0.22,405,175.08,Poor
Madhya Pradesh,Ujjain,Mahidpur,Mahidpurroad,7.4,3046,40.37,372,887,35,55,1195,378,61,145,3.5,0.95,1980,783.06,Unsuitable for Drinking
Maharashtra,Pune,Baramati,Karanje,8.21,894,40.37,189,110,11,21,310,34,54.68,51,1,1.01,156,161.6,Poor
Madhya Pradesh,Sheopur,Vijaypur,Pura,7.25,700,40.37,278,42,8,50,282,85,17,27,1.1,0.35,420,183.19,Poor
Madhya Pradesh,Ujjain,Tarana,Makdon,7.8,947,40.37,250,150,22,30,355,106,22,50,2.2,0.05,616,247.74,Very Poor yet Drinkable
Maharashtra,Pune,Shirur,Pabal New,7.85,584,40.37,207,60,6,9,240,68,17.01,18,1,0.86,115,114.29,Poor
Madhya Pradesh,Sheopur,Sheopur,Rajpura,7.38,725,40.37,327,32,15,30,302,79,25,25,1.5,0.4,435,189.28,Poor
Madhya Pradesh,Ujjain,Ujjain,Naikhedi,8,1042,40.37,421,52,36,85,440,108,41,27,5.2,0.6,677,282.55,Very Poor yet Drinkable
Maharashtra,Pune,Shirur,Shikrapur,7.8,1769,40.37,397,258,27,32,470,104,51.04,4,1,0.45,73,284.62,Very Poor yet Drinkable
Madhya Pradesh,Sheopur,Sheopur,Sheopur,7.36,1105,40.37,393,85,32,73,401,79,49,65,1.9,0.22,663,286.48,Very Poor yet Drinkable
Madhya Pradesh,Ujjain,Ujjain,Narwar,7.7,1123,40.37,372,62,65,73,325,112,11,102,1.9,0.05,730,300.96,Unsuitable for Drinking
Maharashtra,Pune,Khed,Kharabwadi,7.51,942,40.37,256,142,10,9,335,72,37.67,132,31,0.26,84,171.35,Poor
Madhya Pradesh,Sheopur,Vijaypur,Shyampur,7.18,1150,40.37,303,105,65,105,416,91,46,58,8,0.24,690,298.25,Very Poor yet Drinkable
Madhya Pradesh,Ujjain,Ghatia,Nazarpur,7.8,1089,40.37,256,120,55,55,215,52,21,138,2.6,0.9,708,284.22,Very Poor yet Drinkable
Maharashtra,Pune,Velhe,Kolawade,7.85,522,40.37,226,32,3,9,215,56,18.23,22,2,0.17,67,98.88,Good
Madhya Pradesh,Sheopur,Vijaypur,Vijaypurcolony,7.53,1500,40.37,436,210,60,22,347,65,45,180,4,0.52,900,381.47,Unsuitable for Drinking
Madhya Pradesh,Ujjain,Ujjain,Palkhanda,7.8,2512,40.37,299,615,15,74,690,198,47,242,1.1,0.25,1633,638.15,Unsuitable for Drinking
Maharashtra,Pune,Bhor,Kasurdi-1,7.72,201,40.37,43,42,1,5,85,26,4.86,52,16,0.13,120,54.57,Good
Madhya Pradesh,Shivpuri,Khaniyadhana,Achhroni New,7.19,1103,40.37,298,111,40,116,375,84,40,77,1.8,0.39,661,287.76,Very Poor yet Drinkable
Madhya Pradesh,Ujjain,Ujjain,Patpala,7.7,912,40.37,281,77,45,21,310,92,19,54,1.3,0.1,593,237.42,Very Poor yet Drinkable
Maharashtra,Pune,Purandhar,Kamatwadi-Walha,7.61,1925,40.37,330,368,13,4,430,78,57.11,17.2,5,0.14,234,323.2,Unsuitable for Drinking
Madhya Pradesh,Shivpuri,Pohri,Ainpura,7.33,2891,40.37,785,282,126,263,960,164,134,214,1.5,0.64,1734,747.37,Unsuitable for Drinking
Madhya Pradesh,Ujjain,Ghatia,Ruie,7.8,1312,40.37,378,170,18,90,535,156,35,42,1.8,0.25,853,346.85,Unsuitable for Drinking
Maharashtra,Pune,Mawal,Kamshet,7.89,840,40.37,293,99,11,10,355,84,35.24,14.3,1,0.12,222,171.46,Poor
Madhya Pradesh,Shivpuri,Karera,Awas,7.41,626,40.37,213,50,16,49,215,54,19,41,1.6,0.77,375,163.31,Poor
Madhya Pradesh,Ujjain,Tarana,Rupakhedi,7.9,2085,40.37,610,255,24,93,465,164,13,256,2.3,0.5,1355,547.18,Unsuitable for Drinking
Maharashtra,Pune,Shirur,Nhavare-1,7.72,1201,40.37,281,177,11,32,335,58,46.18,74,12,0.22,138,212.26,Very Poor yet Drinkable
Madhya Pradesh,Shivpuri,Badarwas,Badarwas,7.33,1959,40.37,602,203,60,104,565,108,72,176,2.6,0.33,1175,501.43,Unsuitable for Drinking
Madhya Pradesh,Ujjain,Khachrod,Unhel,7.8,2112,40.37,415,355,15,117,885,292,38,65,2.2,0.1,1373,544.2,Unsuitable for Drinking
Maharashtra,Pune,Junnar,Ale-1,7.88,642,40.37,287,39,7,17,240,62,20.66,5.3,1,0.22,210,139.86,Poor
Madhya Pradesh,Shivpuri,Khaniyadhana,Bamorkalan New,7.44,717,40.37,249,69,26,20,215,54,19,61,1.5,0.65,430,184.39,Poor
Madhya Pradesh,Ujjain,Ujjain,Vijayganj Mandi,7.7,1456,40.37,311,232,14,87,440,112,39,123,1.6,0.4,946,377.46,Unsuitable for Drinking
Maharashtra,Pune,Junnar,Belhe-1,7.54,791,40.37,330,50,5,29,355,84,35.24,64,29,0.32,588,223.59,Very Poor yet Drinkable
Madhya Pradesh,Shivpuri,Narwar,Behgwan,7.68,504,40.37,152,52,30,14,160,44,12,39,1.7,0.96,302,129.6,Poor
Madhya Pradesh,Vidisha,Gyaraspur,Atari Khejda,7.6,964,40.37,346,82,30,37,290,42,45,85,1.2,0.27,627,254.49,Very Poor yet Drinkable
Maharashtra,Pune,Pune City,Khadki,7.95,1023,40.37,397,110,8,7,310,70,32.81,4.11,1,0.28,26,171.98,Poor
Madhya Pradesh,Shivpuri,Shivpuri,Bhagora,7.51,558,40.37,183,50,24,25,170,50,11,44,2.1,0.47,334,144.33,Poor
Madhya Pradesh,Vidisha,Vidisha,Bagri,7.4,889,40.37,298,105,17,11,225,56,21,96,2.3,0.3,578,232.38,Very Poor yet Drinkable
Maharashtra,Pune,Purandhar,Zendewadi-1,7.91,607,40.37,226,50,5,25,270,70,23.09,70,23,0.24,138,127.64,Poor
Madhya Pradesh,Shivpuri,Pichhore,Bhonti,7.97,665,40.37,249,47,20,27,245,56,26,33,1.2,0.6,399,171.23,Poor
Madhya Pradesh,Vidisha,Basoda,Bagrodcrossing,7.9,1053,40.37,431,87,11,22,270,66,26,114,1.8,0.54,684,278.8,Very Poor yet Drinkable
Maharashtra,Pune,Haveli,Wagholi-1,7.87,1499,40.37,403,198,11,17,400,86,44.96,86,45,0.25,94,254.2,Very Poor yet Drinkable
Madhya Pradesh,Shivpuri,Pichhore,Dhola,7.96,1228,40.37,438,111,64,11,315,72,33,132,3.4,1.09,736,314.88,Unsuitable for Drinking
Madhya Pradesh,Vidisha,Vidisha,Bamuriya,7.7,890,40.37,298,77,33,43,295,48,43,65,1.5,0.33,579,235,Very Poor yet Drinkable
Maharashtra,Pune,Baramati,Baramati,7.61,241,40.37,79,25,2,6,105,30,7.29,30,7,0.13,70,52.4,Good
Madhya Pradesh,Shivpuri,Badarwas,Ganeshkhera,7.63,1117,40.37,353,94,38,102,365,70,46,83,4.1,0.22,670,291.59,Very Poor yet Drinkable
Madhya Pradesh,Vidisha,Basoda,Bareth,7.8,985,40.37,401,67,25,24,310,62,38,81,2.2,0.62,640,260.56,Very Poor yet Drinkable
Madhya Pradesh,Shivpuri,Pohri,Gobardhan,8.08,833,40.37,268,102,24,16,235,72,13,77,2.9,0.77,499,213.07,Very Poor yet Drinkable
Madhya Pradesh,Vidisha,Vidisha,Bilari,7.5,1931,40.37,620,190,63,88,485,96,60,213,4.9,0.37,1255,509.38,Unsuitable for Drinking
Madhya Pradesh,Shivpuri,Karera,Karera,7.61,1146,40.37,341,129,45,51,305,64,35,117,1.8,1.14,687,293.94,Very Poor yet Drinkable
Madhya Pradesh,Vidisha,Sironj,Dehri Jagir,7.5,1391,40.37,504,122,43,49,370,74,45,147,1.8,0.22,904,368.36,Unsuitable for Drinking
Madhya Pradesh,Shivpuri,Karera,Languri,7.66,718,40.37,231,57,16,69,260,56,29,40,1.6,0.92,430,187.04,Poor
Madhya Pradesh,Vidisha,Sironj,Deopur,7.5,828,40.37,292,55,27,63,275,58,32,61,1.2,0.12,538,221.83,Very Poor yet Drinkable
Madhya Pradesh,Shivpuri,Narwar,Mangroni,7.82,1094,40.37,353,104,36,58,370,94,33,71,2.1,0.49,656,281.52,Very Poor yet Drinkable
Madhya Pradesh,Vidisha,Basoda,Ganjbasoda1,7.5,1358,40.37,516,132,31,11,255,70,19,190,2.6,0.46,883,358.23,Unsuitable for Drinking
Madhya Pradesh,Shivpuri,Kolaras,Manipura New,7.51,650,40.37,242,53,12,30,178,44,17,63,1.4,0.24,390,168.4,Poor
Madhya Pradesh,Vidisha,Basoda,Ghatera,7.5,1064,40.37,310,97,40,101,395,116,26,53,11.1,0.07,692,286.04,Very Poor yet Drinkable
Madhya Pradesh,Shivpuri,Khaniyadhana,Masoori,7.42,826,40.37,236,88,34,56,272,55,33,59,2.5,0.12,495,213.07,Very Poor yet Drinkable
Madhya Pradesh,Vidisha,Gyaraspur,Gyaraspur1,6.9,1551,40.37,529,137,57,80,490,122,45,127,2.8,0.18,1008,412.5,Unsuitable for Drinking
Madhya Pradesh,Shivpuri,Narwar,Narwar,7.21,1010,40.37,309,98,28,89,396,85,45,45,1.3,0.71,606,262.27,Very Poor yet Drinkable
Madhya Pradesh,Vidisha,Vidisha,Hirnai,7.8,1024,40.37,419,85,16,15,360,70,45,67,2.5,0.43,666,269.4,Very Poor yet Drinkable
Madhya Pradesh,Shivpuri,Shivpuri,Patera,7.59,1082,40.37,273,100,31,19,277,55,34,65,1.4,1.07,649,263.19,Very Poor yet Drinkable
Madhya Pradesh,Vidisha,Vidisha,Imaliya,6.8,730,40.37,279,57,29,8,290,58,35,31,1.9,0.12,475,191.4,Poor
Madhya Pradesh,Shivpuri,Pichhore,Pichhore,7.12,1978,40.37,442,253,80,194,535,147,41,199,2.5,0.41,1186,513.42,Unsuitable for Drinking
Madhya Pradesh,Vidisha,Kurwai,Kurwai1,7.6,1250,40.37,377,122,63,73,455,106,46,75,2.2,0.36,813,331.81,Unsuitable for Drinking
Madhya Pradesh,Shivpuri,Pohri,Pohari,7.56,1404,40.37,333,198,56,79,332,57,46,164,2.6,0.53,842,358.64,Unsuitable for Drinking
Madhya Pradesh,Vidisha,Basoda,Malkapur,7.2,1106,40.37,310,137,49,49,275,56,33,123,5.2,0.67,719,292.11,Very Poor yet Drinkable
Madhya Pradesh,Shivpuri,Karera,Sarsod,7.47,932,40.37,267,95,36,67,282,50,39,78,2,1.11,559,240.32,Very Poor yet Drinkable
Madhya Pradesh,Vidisha,Neteran,Mohanpura,7.3,804,40.37,256,85,29,36,195,42,22,93,1.4,0.33,523,213.41,Very Poor yet Drinkable
Madhya Pradesh,Shivpuri,Shivpuri,Satanwara,7.35,1535,40.37,358,248,62,49,470,55,81,129,3.7,0.48,921,386.64,Unsuitable for Drinking
Madhya Pradesh,Vidisha,Basoda,Mudra,7.7,589,40.37,207,37,20,51,215,44,26,32,1.5,0.45,383,158.48,Poor
Madhya Pradesh,Shivpuri,Narwar,Sehore,7.35,2390,40.37,679,253,141,99,574,77,93,199,130.4,1.04,1434,614.19,Unsuitable for Drinking
Madhya Pradesh,Vidisha,Neteran,Nateran,7.5,1914,40.37,592,215,96,41,420,70,60,241,6.5,0.4,1244,502.79,Unsuitable for Drinking
Madhya Pradesh,Shivpuri,Pichhore,Semri,7.4,815,40.37,212,73,48,88,272,63,28,57,1.7,0.5,489,213.9,Very Poor yet Drinkable
Madhya Pradesh,Vidisha,Sironj,Patharia,7.2,1374,40.37,317,137,104,125,440,88,54,110,2,0.31,893,366.69,Unsuitable for Drinking
Madhya Pradesh,Shivpuri,Karera,Sikandara,7.36,691,40.37,236,48,22,57,243,48,30,41,1.3,0.59,414,179.87,Poor
Madhya Pradesh,Vidisha,Vidisha,Pattan,7.6,533,40.37,177,45,31,17,205,30,32,25,1.6,0.4,346,140.25,Poor
Madhya Pradesh,Shivpuri,Shivpuri,Sirsod,7.74,894,40.37,315,73,48,18,287,57,35,65,2,0.45,536,228.85,Very Poor yet Drinkable
Madhya Pradesh,Vidisha,Neteran,Rasulli,7.2,593,40.37,195,52,22,39,190,48,17,47,1.3,0.2,385,158.74,Poor
Madhya Pradesh,Shivpuri,Karera,Sirsod Chouraha,7.83,1772,40.37,497,183,86,117,525,85,76,156,1.5,0.56,1063,455.78,Unsuitable for Drinking
Madhya Pradesh,Vidisha,Vidisha,Salaiya,7.4,1278,40.37,275,122,69,186,330,66,40,138,1.3,0.21,831,346.7,Unsuitable for Drinking
Madhya Pradesh,Shivpuri,Khaniyadhana,Sitapur,7.71,929,40.37,273,93,32,73,347,63,46,47,2,0.3,557,239.65,Very Poor yet Drinkable
Madhya Pradesh,Vidisha,Sironj,Sironj1,7.5,994,40.37,305,107,42,32,290,42,45,88,6.8,0.12,646,260.36,Very Poor yet Drinkable
Madhya Pradesh,Shivpuri,Shivpuri,Survaya,7.62,319,40.37,73,53,9,8,64,14,7,40,1.7,0.68,191,80.91,Good
Madhya Pradesh,Vidisha,Lateri,Tajpura,7,394,40.37,134,30,21,13,130,18,21,27,1.5,0.16,256,103.9,Poor
Madhya Pradesh,Shivpuri,Karera,Toda Karea,7.4,942,40.37,321,83,30,48,337,63,43,55,2.5,0.48,565,242.11,Very Poor yet Drinkable
Madhya Pradesh,Vidisha,Neteran,Tinsiyai,7.9,821,40.37,238,107,36,21,215,56,18,86,4.4,0.56,534,216.42,Very Poor yet Drinkable
Madhya Pradesh,Sidhi,Sihawal,Amiliya1,7.52,650,40.37,346,7,6,15,275,90,12,22,0.5,0.29,390,170.66,Poor
Madhya Pradesh,Vidisha,Basoda,Udaipur,7.5,1037,40.37,281,90,55,109,355,44,60,71,3.1,0.1,674,277.58,Very Poor yet Drinkable
Madhya Pradesh,Sidhi,Sidhi,Badhaora,7.92,500,40.37,122,32,75,43,200,40,24,30,1.2,0.12,300,133.35,Poor
Madhya Pradesh,Vidisha,Vidisha,Vidisha,7.2,1094,40.37,348,117,62,10,340,74,38,87,9.5,0.27,711,286.38,Very Poor yet Drinkable
Madhya Pradesh,Sidhi,Rampur Naikin,Baghwar,7.4,643,40.37,292,12,25,25,285,76,23,15,0.7,0.8,385,167.61,Poor
Madhya Pradesh,Agar Malwa,Agar,Agar New,7.52,1120,40.37,442,87,15,102,439,107,42,68,1.2,0.26,420,261.62,Very Poor yet Drinkable
Madhya Pradesh,Sidhi,Sidhi,Baghwari,7.5,570,40.37,286,7,10,9,240,62,21,19,1.2,0.42,342,147.64,Poor
Madhya Pradesh,Agar Malwa,Badod,Barod,7.52,1501,40.37,710,65,18,78,667,192,45,48,3.5,0.52,72,277.27,Very Poor yet Drinkable
Madhya Pradesh,Sidhi,Sihawal,Bahari,7.15,620,40.37,322,7,12,12,230,82,6,32,1,0.12,372,162.77,Poor
Madhya Pradesh,Agar Malwa,Susner,Guradi Bangla,7.56,1272,40.37,591,52,14,80,535,158,34,58,4.6,0.49,69,237.6,Very Poor yet Drinkable
Madhya Pradesh,Sidhi,Sidhi,Barambaba,7.85,450,40.37,188,10,10,35,180,46,16,20,0.4,0.56,270,118.21,Poor
Madhya Pradesh,Agar Malwa,Badod,Jhounta,7.67,598,40.37,218,52,24,38,232,65,17,42,1.2,0.68,90,119.92,Poor
Madhya Pradesh,Sidhi,Majhauli,Bastua,7.75,510,40.37,152,15,80,30,165,42,15,40,1.9,0.35,306,135.61,Poor
Madhya Pradesh,Agar Malwa,Agar,Kanad,7.43,1052,40.37,467,62,10,58,424,113,34,53,2.4,0.34,78,197.42,Poor
Madhya Pradesh,Sidhi,Majhauli,Chhuhi,7.5,690,40.37,207,35,36,35,295,96,13,5,1.6,1.39,414,174.79,Poor
Madhya Pradesh,Agar Malwa,Agar,Kashi Bardiya,7.62,1110,40.37,529,55,16,30,253,83,11,142,2.3,0.66,552,275.92,Very Poor yet Drinkable
Madhya Pradesh,Sidhi,Sidhi,Chilheri Kalan,7.85,530,40.37,194,27,30,22,210,60,15,23,2,0.53,318,137.58,Poor
Madhya Pradesh,Agar Malwa,Badod,Matkotra,7.52,945,40.37,461,50,8,41,394,105,32,44,1.9,0.73,76,179.69,Poor
Madhya Pradesh,Sidhi,Rampur Naikin,Chouphal,7.65,865,40.37,383,17,39,43,325,86,27,46,1.4,0.32,519,227,Very Poor yet Drinkable
Madhya Pradesh,Agar Malwa,Susner,Soyat,7.52,3356,40.37,971,355,56,400,1232,315,108,242,14.5,0.56,106,611.8,Unsuitable for Drinking
Madhya Pradesh,Sidhi,Rampur Naikin,Chourhat,7.55,630,40.37,292,20,10,15,265,68,23,20,5.2,0.4,378,162.81,Poor
Madhya Pradesh,Agar Malwa,Susner,Susner New,7.66,1122,40.37,429,102,14,77,389,105,31,92,3.2,0.33,264,237.09,Very Poor yet Drinkable
Bihar,Araria,Araria,Araria,7.91,203,40.37,97.6,10.7,6,38.19,95,34,2.4,1.3,3.5,0.62,69,46.17,Excellent
Madhya Pradesh,Sidhi,Majhauli,Dhuandol,7.77,525,40.37,231,15,19,8,225,50,24,15,1.2,0.32,315,134.68,Poor
Madhya Pradesh,Alirajpur,Alirajpur,Alirajpur,7.92,1202,40.37,415,139,42,21,425,130,24,98,2.4,0.51,246,242.29,Very Poor yet Drinkable
Bihar,Araria,Raniganj,Raniganj,7.99,542,40.37,176.9,53.3,23,28,225,30,36.5,8.4,9.7,0.29,264,130.62,Poor
Madhya Pradesh,Sidhi,Sidhi,Hatwa,7.54,868,40.37,346,42,33,19,395,70,53,16,0.6,0.4,520,220.43,Very Poor yet Drinkable
Madhya Pradesh,Alirajpur,Alirajpur,Ambua,7.75,1985,40.37,573,225,85,105,650,178,50,172,3,0.4,384,396.82,Unsuitable for Drinking
Bihar,Araria,Bhargama,Bhargama,7.8,237,40.37,67.1,14.2,13,29,100,30,6.1,113.73,3.8,0.18,330,89.79,Good
Madhya Pradesh,Sidhi,Sidhi,Jogikothar,7.54,725,40.37,346,20,9,15,265,80,16,43,1.9,0.39,435,187.92,Poor
Madhya Pradesh,Alirajpur,Jobat,Badaguda,7.25,855,40.37,439,37,10,11,330,98,21,45,3.8,1.1,138,170.63,Poor
Bihar,Araria,Farbisganj,Hariarpur,7.79,532,40.37,225.7,24.9,24,22,220,64,14.6,2.4,16,0.53,43,100.17,Poor
Madhya Pradesh,Sidhi,Majhauli,Jogipahari,7.42,710,40.37,231,42,60,45,280,70,26,33,0.8,0.5,426,186.01,Poor
Madhya Pradesh,Alirajpur,Bhabra,Bhabra  New,7.52,642,40.37,305,30,8,51,260,84,12,38,3.1,0.82,54,126.24,Poor
Bihar,Araria,Farbisganj,Matiyari,7.97,226,40.37,61,24.9,9.8,20,100,22,10.9,1.3,3.1,0.28,30,44.13,Excellent
Madhya Pradesh,Sidhi,Rampur Naikin,Khamh,7.5,770,40.37,328,15,10,8,300,70,30,15,0.3,0.45,462,192.19,Poor
Madhya Pradesh,Alirajpur,Alirajpur,Borkua,7.65,842,40.37,397,25,5,66,345,104,21,33,2.7,0.81,72,162.02,Poor
Bihar,Araria,Farbisganj,Batnaha,7.93,410,40.37,128.1,60.4,11,0.8,175,38,19.4,10.6,3,0.21,348,118.47,Poor
Madhya Pradesh,Sidhi,Sidhi,Kuchwahi,7.52,720,40.37,316,20,32,6,275,76,21,35,1,0.32,432,185.04,Poor
Madhya Pradesh,Alirajpur,Kattiwada,Chandpur,7.74,1356,40.37,482,156,32,19,400,124,22,142,2.5,0.47,342,281.48,Very Poor yet Drinkable
Assam,Lohit,Namsai Circle,Lathow,7,57.52,40.37,61.05,21.27,10.24,0.08,50,12.01,4.85,15.07,1.5,0.04,181,43.24,Excellent
Bihar,Araria,Jokihat,Jokihat,7.9,533,40.37,170.8,53.3,24,28,230,42,30.4,4.2,9.3,0.26,32,96.24,Good
Madhya Pradesh,Sidhi,Majhauli,Mahua Gaon,7.39,625,40.37,261,20,32,35,265,80,16,19,1.1,0.32,375,164.64,Poor
Madhya Pradesh,Alirajpur,Alirajpur,Fatta,7.82,1312,40.37,525,141,15,24,395,124,21,126,5.5,1.23,294,270.06,Very Poor yet Drinkable
Assam,Dibrugarh,Panitola,Chabua,8.4,321.2,15,213.67,35.45,42.49,0.08,150,30.02,18.19,45.85,19.52,0.24,181,95.6,Good
Bihar,Araria,Palasi,plasi,7.89,793,40.37,305,63.9,35,6.8,285,54,36.5,21,19,0.38,342,183.22,Poor
